Time,Object,Event
3.8000000000000003,ship.0,loaded 76 containers as cargo in Rotterdam
5.050000000000001,ship.0,Ship has loaded 25 batteries from Rotterdam
5.050000000000001,Rotterdam,Rotterdam has 75 batteries left.
14.000175574665992,ship.1,loaded 99 containers as cargo in Rotterdam
15.250175574665992,ship.1,Ship has loaded 25 batteries from Rotterdam
15.250175574665992,Rotterdam,Rotterdam has 50 batteries left.
20.19008448354119,ship.2,loaded 58 containers as cargo in Rotterdam
20.783333333333335,ship.0,loaded 67 containers as cargo in Antwerp
21.44008448354119,ship.2,Ship has loaded 25 batteries from Rotterdam
21.44008448354119,Rotterdam,Rotterdam has 25 batteries left.
21.44008448354119,Rotterdam,"Warning activated in Rotterdam, only 25 batteries left"
22.033333333333335,ship.0,Ship has loaded 25 batteries from Antwerp
22.033333333333335,Antwerp,Antwerp has 100 batteries left.
34.38325748182669,ship.3,loaded 69 containers as cargo in Ludwigshafen
35.522222222222226,Rotterdam,"Warning deactivated in Rotterdam, 50 batteries available"
35.63325748182669,ship.3,Ship has loaded 25 batteries from Ludwigshafen
35.63325748182669,Ludwigshafen,Ludwigshafen has 75 batteries left.
36.673417816874526,ship.2,loaded 75 containers as cargo in Antwerp
37.516666666666666,ship.0,loaded 71 containers as cargo in Rotterdam
37.923417816874526,ship.2,Ship has loaded 25 batteries from Antwerp
37.923417816874526,Antwerp,Antwerp has 100 batteries left.
38.766666666666666,ship.0,Ship has loaded 25 batteries from Rotterdam
38.766666666666666,Rotterdam,Rotterdam has 25 batteries left.
38.766666666666666,Rotterdam,"Warning activated in Rotterdam, only 25 batteries left"
42.95232412904438,ship.1,loaded 77 containers as cargo in Amsterdam
45.20232412904438,ship.1,Ship has loaded 45 batteries from Amsterdam
45.20232412904438,Amsterdam,Amsterdam has 80 batteries left.
45.75644945945064,ship.4,loaded 98 containers as cargo in Rotterdam
47.00644945945064,ship.4,Ship has loaded 25 batteries from Rotterdam
47.00644945945064,Rotterdam,Rotterdam has 0 batteries left.
57.63565746237771,Rotterdam,"Warning deactivated in Rotterdam, 45 batteries available"
58.91911876969139,ship.5,loaded 72 containers as cargo in Terneuzen
60.16911876969139,ship.5,Ship has loaded 25 batteries from Terneuzen
60.16911876969139,Terneuzen,Terneuzen has 75 batteries left.
60.852324129044376,ship.1,loaded 91 containers as cargo in Rotterdam
62.102324129044376,ship.1,Ship has loaded 25 batteries from Rotterdam
62.102324129044376,Rotterdam,Rotterdam has 20 batteries left.
62.102324129044376,Rotterdam,"Warning activated in Rotterdam, only 20 batteries left"
62.58333333333333,ship.0,loaded 83 containers as cargo in Liege
63.83333333333333,ship.0,Ship has loaded 25 batteries from Liege
63.83333333333333,Liege,Liege has 100 batteries left.
70.38978279278398,ship.4,loaded 54 containers as cargo in Louviere
71.63978279278398,ship.4,Ship has loaded 25 batteries from Louviere
71.63978279278398,Louviere,Louviere has 100 batteries left.
73.51515576550933,ship.6,loaded 84 containers as cargo in Antwerp
74.3524521030247,Rotterdam,"Warning deactivated in Rotterdam, 45 batteries available"
75.76515576550933,ship.6,Ship has loaded 45 batteries from Antwerp
75.76515576550933,Antwerp,Antwerp has 55 batteries left.
76.01911876969137,ship.5,loaded 60 containers as cargo in Rotterdam
77.26911876969137,ship.5,Ship has loaded 25 batteries from Rotterdam
77.26911876969137,Rotterdam,Rotterdam has 20 batteries left.
77.26911876969137,Rotterdam,"Warning activated in Rotterdam, only 20 batteries left"
77.30232412904438,ship.1,loaded 88 containers as cargo in Amsterdam
78.55232412904438,ship.1,Ship has loaded 25 batteries from Amsterdam
78.55232412904438,Amsterdam,Amsterdam has 80 batteries left.
85.45675448186486,ship.7,loaded 87 containers as cargo in Amsterdam
86.70675448186486,ship.7,Ship has loaded 25 batteries from Amsterdam
86.70675448186486,Amsterdam,Amsterdam has 55 batteries left.
88.82341781687452,ship.2,loaded 62 containers as cargo in Ludwigshafen
90.07341781687452,ship.2,Ship has loaded 25 batteries from Ludwigshafen
90.07341781687452,Ludwigshafen,Ludwigshafen has 70 batteries left.
90.52311612611732,ship.4,loaded 84 containers as cargo in Terneuzen
91.10404465439822,Rotterdam,"Warning deactivated in Rotterdam, 65 batteries available"
91.45,ship.0,loaded 75 containers as cargo in Duisburg
91.77311612611732,ship.4,Ship has loaded 25 batteries from Terneuzen
91.77311612611732,Terneuzen,Terneuzen has 75 batteries left.
92.7,ship.0,Ship has loaded 25 batteries from Duisburg
92.7,Duisburg,Duisburg has 100 batteries left.
93.34848909884266,ship.6,loaded 76 containers as cargo in Rotterdam
93.4524521030247,ship.5,loaded 92 containers as cargo in Antwerp
94.59848909884266,ship.6,Ship has loaded 25 batteries from Rotterdam
94.59848909884266,Rotterdam,Rotterdam has 40 batteries left.
94.7024521030247,ship.5,Ship has loaded 25 batteries from Antwerp
94.7024521030247,Antwerp,Antwerp has 55 batteries left.
96.82342114853152,ship.7,loaded 65 containers as cargo in Velsen
96.98325748182668,ship.3,loaded 61 containers as cargo in Duisburg
97.92791399602594,ship.8,loaded 97 containers as cargo in Duisburg
98.07342114853152,ship.7,Ship has loaded 25 batteries from Velsen
98.07342114853152,Velsen,Velsen has 100 batteries left.
98.23325748182668,ship.3,Ship has loaded 25 batteries from Duisburg
98.23325748182668,Duisburg,Duisburg has 100 batteries left.
99.17791399602594,ship.8,Ship has loaded 25 batteries from Duisburg
99.17791399602594,Duisburg,Duisburg has 75 batteries left.
104.86899079571106,ship.1,loaded 88 containers as cargo in Liege
106.11899079571106,ship.1,Ship has loaded 25 batteries from Liege
106.11899079571106,Liege,Liege has 100 batteries left.
107.1147362424043,ship.9,loaded 79 containers as cargo in Rotterdam
108.3647362424043,ship.9,Ship has loaded 25 batteries from Rotterdam
108.3647362424043,Rotterdam,Rotterdam has 15 batteries left.
108.3647362424043,Rotterdam,"Warning activated in Rotterdam, only 15 batteries left"
113.36356455064531,ship.10,loaded 98 containers as cargo in Antwerp
114.61356455064531,ship.10,Ship has loaded 25 batteries from Antwerp
114.61356455064531,Antwerp,Antwerp has 30 batteries left.
117.7521622991266,ship.11,loaded 57 containers as cargo in Amsterdam
119.0021622991266,ship.11,Ship has loaded 25 batteries from Amsterdam
119.0021622991266,Amsterdam,Amsterdam has 30 batteries left.
124.39848909884266,ship.6,loaded 99 containers as cargo in Cologne
125.14806957573764,ship.9,loaded 85 containers as cargo in Antwerp
125.64848909884266,ship.6,Ship has loaded 25 batteries from Cologne
125.64848909884266,Cologne,Cologne has 100 batteries left.
127.39806957573764,ship.9,Ship has loaded 45 batteries from Antwerp
127.39806957573764,Antwerp,Antwerp has 10 batteries left.
127.39806957573764,Antwerp,"Warning activated in Antwerp, only 10 batteries left"
127.68010190682219,Rotterdam,"Warning deactivated in Rotterdam, 40 batteries available"
130.63565746237774,ship.1,loaded 80 containers as cargo in Rotterdam
131.88565746237774,ship.1,Ship has loaded 25 batteries from Rotterdam
131.88565746237774,Rotterdam,Rotterdam has 15 batteries left.
131.88565746237774,Rotterdam,"Warning activated in Rotterdam, only 15 batteries left"
132.46254582629814,ship.12,loaded 71 containers as cargo in Vlissingen
132.8445806626926,ship.8,loaded 82 containers as cargo in Mannheim
