Time,Object,Event
4.25,ship.0,loaded 85 containers as cargo in Rotterdam
4.4,ship.0,Ship has loaded 3 batteries from Rotterdam
4.4,Rotterdam,Rotterdam has 97 batteries left.
16.505810187726816,ship.1,loaded 59 containers as cargo in Rotterdam
16.655810187726814,ship.1,Ship has loaded 3 batteries from Rotterdam
16.655810187726814,Rotterdam,Rotterdam has 94 batteries left.
20.383333333333333,ship.0,loaded 85 containers as cargo in Antwerp
20.53333333333333,ship.0,Ship has loaded 3 batteries from Antwerp
20.53333333333333,Antwerp,Antwerp has 100 batteries left.
28.992389325903083,ship.2,loaded 89 containers as cargo in Vlissingen
29.192389325903083,ship.2,Ship has loaded 4 batteries from Vlissingen
29.192389325903083,Vlissingen,Vlissingen has 96 batteries left.
31.339143521060144,ship.1,loaded 85 containers as cargo in Antwerp
31.489143521060143,ship.1,Ship has loaded 3 batteries from Antwerp
31.489143521060143,Antwerp,Antwerp has 100 batteries left.
36.16666666666666,ship.0,loaded 78 containers as cargo in Rotterdam
36.76424975278739,ship.3,loaded 71 containers as cargo in Amsterdam
36.91666666666666,ship.0,Ship has loaded 15 batteries from Rotterdam
36.91666666666666,Rotterdam,Rotterdam has 82 batteries left.
37.01424975278739,ship.3,Ship has loaded 5 batteries from Amsterdam
37.01424975278739,Amsterdam,Amsterdam has 95 batteries left.
48.009055992569756,ship.2,loaded 78 containers as cargo in Rotterdam
48.159055992569755,ship.2,Ship has loaded 3 batteries from Rotterdam
48.159055992569755,Rotterdam,Rotterdam has 83 batteries left.
50.721034746413544,ship.4,loaded 54 containers as cargo in Cologne
51.221034746413544,ship.4,Ship has loaded 10 batteries from Cologne
51.221034746413544,Cologne,Cologne has 90 batteries left.
57.864249752787394,ship.3,loaded 89 containers as cargo in Vlissingen
58.114249752787394,ship.3,Ship has loaded 5 batteries from Vlissingen
58.114249752787394,Vlissingen,Vlissingen has 96 batteries left.
59.46135990227857,ship.5,loaded 56 containers as cargo in Rotterdam
59.61135990227857,ship.5,Ship has loaded 3 batteries from Rotterdam
59.61135990227857,Rotterdam,Rotterdam has 80 batteries left.
71.03339318233681,ship.6,loaded 91 containers as cargo in Moerdijk
71.1333931823368,ship.6,Ship has loaded 2 batteries from Moerdijk
71.1333931823368,Moerdijk,Moerdijk has 98 batteries left.
78.76424975278739,ship.3,loaded 67 containers as cargo in Amsterdam
79.06424975278739,ship.3,Ship has loaded 6 batteries from Amsterdam
79.06424975278739,Amsterdam,Amsterdam has 94 batteries left.
80.22452331539792,ship.7,loaded 98 containers as cargo in Sittard
80.42452331539792,ship.7,Ship has loaded 4 batteries from Sittard
80.42452331539792,Sittard,Sittard has 96 batteries left.
82.00005984900345,ship.6,loaded 67 containers as cargo in Rotterdam
82.35005984900344,ship.6,Ship has loaded 7 batteries from Rotterdam
82.35005984900344,Rotterdam,Rotterdam has 75 batteries left.
82.45436807974687,ship.4,loaded 86 containers as cargo in Antwerp
82.85436807974688,ship.4,Ship has loaded 8 batteries from Antwerp
82.85436807974688,Antwerp,Antwerp has 102 batteries left.
84.71666666666667,ship.0,loaded 83 containers as cargo in Ludwigshafen
85.56666666666666,ship.0,Ship has loaded 17 batteries from Ludwigshafen
85.56666666666666,Ludwigshafen,Ludwigshafen has 99 batteries left.
94.95423632615265,ship.8,loaded 94 containers as cargo in Mannheim
95.80423632615265,ship.8,Ship has loaded 17 batteries from Mannheim
95.80423632615265,Mannheim,Mannheim has 83 batteries left.
98.97019219169078,ship.1,loaded 70 containers as cargo in Rotterdam
99.12019219169079,ship.1,Ship has loaded 3 batteries from Rotterdam
99.12019219169079,Rotterdam,Rotterdam has 75 batteries left.
101.6475830861207,ship.3,loaded 96 containers as cargo in Antwerp
101.75903487678463,ship.9,loaded 93 containers as cargo in Rotterdam
101.79758308612071,ship.3,Ship has loaded 3 batteries from Antwerp
101.79758308612071,Antwerp,Antwerp has 105 batteries left.
101.90903487678463,ship.9,Ship has loaded 3 batteries from Rotterdam
101.90903487678463,Rotterdam,Rotterdam has 72 batteries left.
112.15436807974687,ship.4,loaded 92 containers as cargo in Duisburg
112.50436807974687,ship.4,Ship has loaded 7 batteries from Duisburg
112.50436807974687,Duisburg,Duisburg has 101 batteries left.
114.72559424117807,ship.10,loaded 54 containers as cargo in Antwerp
114.87559424117808,ship.10,Ship has loaded 3 batteries from Antwerp
114.87559424117808,Antwerp,Antwerp has 106 batteries left.
115.91354410134166,ship.5,loaded 93 containers as cargo in Antwerp
116.06354410134166,ship.5,Ship has loaded 3 batteries from Antwerp
116.06354410134166,Antwerp,Antwerp has 103 batteries left.
117.04236821011797,ship.9,loaded 60 containers as cargo in Antwerp
117.34236821011797,ship.9,Ship has loaded 6 batteries from Antwerp
117.34236821011797,Antwerp,Antwerp has 97 batteries left.
118.03091641945404,ship.3,loaded 79 containers as cargo in Rotterdam
118.38091641945404,ship.3,Ship has loaded 7 batteries from Rotterdam
118.38091641945404,Rotterdam,Rotterdam has 68 batteries left.
120.75954858017337,ship.2,loaded 79 containers as cargo in Antwerp
120.90954858017338,ship.2,Ship has loaded 3 batteries from Antwerp
120.90954858017338,Antwerp,Antwerp has 94 batteries left.
122.39454716634704,ship.11,loaded 59 containers as cargo in Duisburg
122.74454716634703,ship.11,Ship has loaded 7 batteries from Duisburg
122.74454716634703,Duisburg,Duisburg has 94 batteries left.
127.40892757451142,ship.10,loaded 79 containers as cargo in Moerdijk
127.55892757451143,ship.10,Ship has loaded 3 batteries from Moerdijk
127.55892757451143,Moerdijk,Moerdijk has 98 batteries left.
132.146877434675,ship.5,loaded 79 containers as cargo in Rotterdam
132.49687743467499,ship.5,Ship has loaded 7 batteries from Rotterdam
