Time,Object,Event
4.75,ship.0,loaded 95 containers as cargo in Rotterdam
6.0,ship.0,Ship has loaded 25 batteries from Rotterdam
6.0,Rotterdam,Rotterdam has 75 batteries left.
10.28105764601718,ship.1,loaded 96 containers as cargo in Rotterdam
11.53105764601718,ship.1,Ship has loaded 25 batteries from Rotterdam
11.53105764601718,Rotterdam,Rotterdam has 50 batteries left.
20.754453859285462,ship.2,loaded 70 containers as cargo in Vlissingen
22.004453859285462,ship.2,Ship has loaded 25 batteries from Vlissingen
22.004453859285462,Vlissingen,Vlissingen has 75 batteries left.
22.233333333333334,ship.0,loaded 58 containers as cargo in Antwerp
23.483333333333334,ship.0,Ship has loaded 25 batteries from Antwerp
23.483333333333334,Antwerp,Antwerp has 100 batteries left.
27.231057646017184,ship.1,loaded 93 containers as cargo in Amsterdam
28.227865547628934,ship.3,loaded 77 containers as cargo in Rotterdam
28.481057646017184,ship.1,Ship has loaded 25 batteries from Amsterdam
28.481057646017184,Amsterdam,Amsterdam has 100 batteries left.
29.477865547628934,ship.3,Ship has loaded 25 batteries from Rotterdam
29.477865547628934,Rotterdam,Rotterdam has 25 batteries left.
29.477865547628934,Rotterdam,"Warning activated in Rotterdam, only 25 batteries left"
35.60107615569794,ship.4,loaded 60 containers as cargo in Rotterdam
36.522222222222226,Rotterdam,"Warning deactivated in Rotterdam, 50 batteries available"
36.85107615569794,ship.4,Ship has loaded 25 batteries from Rotterdam
36.85107615569794,Rotterdam,Rotterdam has 25 batteries left.
36.85107615569794,Rotterdam,"Warning activated in Rotterdam, only 25 batteries left"
37.71666666666667,ship.0,loaded 55 containers as cargo in Rotterdam
38.96666666666667,ship.0,Ship has loaded 25 batteries from Rotterdam
38.96666666666667,Rotterdam,Rotterdam has 0 batteries left.
51.98440948903127,ship.4,loaded 71 containers as cargo in Antwerp
52.00775002993207,ship.5,loaded 98 containers as cargo in Duisburg
53.23440948903127,ship.4,Ship has loaded 25 batteries from Antwerp
53.23440948903127,Antwerp,Antwerp has 100 batteries left.
53.25775002993207,ship.5,Ship has loaded 25 batteries from Duisburg
53.25775002993207,Duisburg,Duisburg has 75 batteries left.
61.90998713800556,ship.6,loaded 68 containers as cargo in Moerdijk
62.733333333333334,ship.0,loaded 98 containers as cargo in Liege
64.15998713800556,ship.6,Ship has loaded 45 batteries from Moerdijk
64.15998713800556,Moerdijk,Moerdijk has 55 batteries left.
64.98333333333333,ship.0,Ship has loaded 45 batteries from Liege
64.98333333333333,Liege,Liege has 80 batteries left.
70.49612684326758,ship.7,loaded 70 containers as cargo in Paris
71.74612684326758,ship.7,Ship has loaded 25 batteries from Paris
71.74612684326758,Paris,Paris has 75 batteries left.
76.05775002993208,ship.5,loaded 53 containers as cargo in Moerdijk
77.07665380467223,ship.6,loaded 88 containers as cargo in Rotterdam
77.30775002993208,ship.5,Ship has loaded 25 batteries from Moerdijk
77.30775002993208,Moerdijk,Moerdijk has 55 batteries left.
78.07786554762893,ship.3,loaded 90 containers as cargo in Ludwigshafen
78.32665380467223,ship.6,Ship has loaded 25 batteries from Rotterdam
78.32665380467223,Rotterdam,Rotterdam has 20 batteries left.
79.32786554762893,ship.3,Ship has loaded 25 batteries from Ludwigshafen
79.32786554762893,Ludwigshafen,Ludwigshafen has 101 batteries left.
82.35396310033232,ship.8,loaded 86 containers as cargo in Antwerp
83.17404487945863,Rotterdam,"Warning deactivated in Rotterdam, 45 batteries available"
83.60396310033232,ship.8,Ship has loaded 25 batteries from Antwerp
83.60396310033232,Antwerp,Antwerp has 75 batteries left.
86.3907115461253,ship.1,loaded 91 containers as cargo in Rotterdam
87.6407115461253,ship.1,Ship has loaded 25 batteries from Rotterdam
87.6407115461253,Rotterdam,Rotterdam has 61 batteries left.
89.55,ship.0,loaded 51 containers as cargo in Rotterdam
